,name,Orbit (AU),Value ($),Group,($),unit_value($),Metal Content,total_value_dol
126,Swann,2.3890000000000002,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
127,Nora,2.342,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
128,Horky,2.401,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
129,1994 EF2,2.293,304.77 million,AMO,304.77,million,D_Very low Content,304770000.0
130,Amy,2.1719999999999997,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
131,Leetsungdao,2.392,604.51 million,MCA,604.51,million,D_Very low Content,604510000.0
132,Sigrid,2.43,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
133,Berry,2.287,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
134,Lunacharsky,2.355,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
135,Tangshan,2.281,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
136,A'Hearn,2.377,64.58 trillion,MBA,64.58,trillion,B_Metal Content,64580000000000.0
137,1998 ST49,2.3080000000000003,231.20 million,APO,231.2,million,D_Very low Content,231200000.0
138,Fowler,2.33,69.31 trillion,MBA,69.31,trillion,B_Metal Content,69310000000000.0
139,Tiflis,2.329,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
140,Tatianina,2.358,5.10 trillion,MBA,5.1,trillion,B_Metal Content,5100000000000.0
141,Dugan,2.314,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
142,Kani,2.4290000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
143,Amaravella,2.274,7.77 trillion,MBA,7.77,trillion,B_Metal Content,7770000000000.0
144,Peraga,2.374,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
145,Lacadiera,2.251,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
146,Maisica,2.365,32.64 trillion,MBA,32.64,trillion,B_Metal Content,32640000000000.0
147,Kaho,2.4,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
148,1980 RC1,2.458,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
149,Vernadskij,2.4290000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
150,Chukotka,2.456,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
151,Komendantov,2.468,32.49 trillion,MBA,32.49,trillion,B_Metal Content,32490000000000.004
152,Paavo Nurmi,2.4659999999999997,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
153,Horn-d'Arturo,2.628,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
154,Makharadze,2.461,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
155,Levitan,2.3609999999999998,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
156,Sequoia,1.9340000000000002,39.31 trillion,IMB,39.31,trillion,B_Metal Content,39310000000000.0
157,Popov,2.339,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
158,Lilio,2.371,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
159,Madreteresa,2.4,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
160,Gregory,2.467,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
161,Appenzella,2.45,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
162,Capek,2.541,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
163,Heckmann,2.435,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
164,Jo-Ann,2.451,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
165,1995 WQ5,2.347,3.00 trillion,MCA,3.0,trillion,B_Metal Content,3000000000000.0
166,Salli,2.398,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
167,Aurelia,2.5980000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
168,Clifford,2.01,68.11 trillion,MCA,68.11,trillion,B_Metal Content,68110000000000.0
169,Jekhovsky,2.687,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
170,1992 UB,3.105,766.16 billion,MCA,766.16,billion,C_Low Metal Content,766160000000.0
171,Kenos,1.909,39.19 trillion,MCA,39.19,trillion,B_Metal Content,39190000000000.0
172,Seilandfarm,2.2640000000000002,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
173,1999 CW8,2.2359999999999998,217.07 billion,APO,217.07,billion,C_Low Metal Content,217070000000.0
174,Stearns,1.8840000000000001,14.73 trillion,MCA,14.73,trillion,B_Metal Content,14730000000000.0
