des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,fullname
2017 BJ29,5,2456279.581279492,2012-Dec-18 01:57,0.050299377762985,0.0329540997072135,0.171639672288491,14.1426058176555,14.1422033598853,3_23:23,25.2,       (2017 BJ29)
2019 QW1,2,2456286.161837136,2012-Dec-24 15:53,0.0534569415229708,0.0426039718533021,0.131450272534447,23.624746614952,23.6245199225294,4_08:15,22.4,       (2019 QW1)
2018 XK5,10,2456287.821977334,2012-Dec-26 07:44,0.0451988741282231,0.0440641040919623,0.0463407321648282,13.0134132030208,13.0129264647757,01:42,20.6,       (2018 XK5)
2016 FC,20,2456312.060866253,2013-Jan-19 13:28,0.0402493551424201,0.0398842442472379,0.0406268006913704,5.87846775096279,5.87725763267715,03:16,26.6,       (2016 FC)
2020 FX3,8,2456317.227507810,2013-Jan-24 17:28,0.0106362613478429,0.00698889912285664,0.151660008984883,12.8972267724323,12.8951396112306,7_14:32,24.09,       (2020 FX3)
2018 DD2,2,2456336.108721510,2013-Feb-12 14:37,0.0432735973198853,0.00739561297064212,0.160998018388331,8.23990801197224,8.23910507402316,4_02:48,27.4,       (2018 DD2)
2005 RV24,13,2456338.421750737,2013-Feb-14 22:07,0.0464994869096656,0.0464959966151576,0.0465029772539184,29.8288396198424,29.8286332134376,< 00:01,20.5,       (2005 RV24)
2017 FW128,4,2456340.939437235,2013-Feb-17 10:33,0.0382246856603244,0.0253463191701442,0.0596264537328858,6.26758375552394,6.2663886575084,1_10:30,27.5,       (2017 FW128)
2017 DJ16,6,2456344.186027436,2013-Feb-20 16:28,0.0256934581981708,0.0233614359894833,0.0798047887502095,9.31206844294985,9.3108717978385,15:07,25.8,       (2017 DJ16)
2016 GC1,10,2456352.054916302,2013-Feb-28 13:19,0.0364536636209403,0.009841724994593,0.124899335774969,7.96056846907848,7.95958185380011,1_13:51,26.5,       (2016 GC1)
2014 SJ143,9,2456358.639451757,2013-Mar-07 03:21,0.0430209871263394,0.0430093875969301,0.0430325917549461,9.68398023095445,9.6832930243397,00:01,21.9,       (2014 SJ143)
2006 JX25,16,2456359.118577298,2013-Mar-07 14:51,0.0363780755147926,0.0363605864213041,0.036395567885282,7.75669740934821,7.75568275522913,00:06,20.1,       (2006 JX25)
2011 GC3,7,2456366.157616309,2013-Mar-14 15:47,0.0138044385271846,0.00282122375999831,0.193332669997855,16.543196731502,16.5419430579573,8_12:35,22.6,       (2011 GC3)
2003 QB31,15,2456366.786923952,2013-Mar-15 06:53,0.0468072752690118,0.0432874198472073,0.0561379455246188,7.59833642608279,7.59753142342631,2_01:39,21.6,       (2003 QB31)
2014 HS124,12,2456380.021769342,2013-Mar-28 12:31,0.0496720042974732,0.0496144238157672,0.0497337631580056,6.93277012420641,6.93193871707722,00:19,22.9,       (2014 HS124)
2015 EZ6,4,2456398.138980757,2013-Apr-15 15:20,0.0324436979306107,0.0320301983299026,0.0338157331827573,5.74035387948492,5.73881644954884,1_04:40,28.6,       (2015 EZ6)
154244,261,2456399.372124963,2013-Apr-16 20:56,0.0285795935749803,0.028579471782367,0.0285797153675952,10.9058694234307,10.9049508621508,< 00:01,17.5,154244 (2002 KL6)
2017 WY14,3,2456426.975614904,2013-May-14 11:25,0.0478813666949188,0.0478218050095465,0.0711912849112508,13.6925682878029,13.6921316094552,01:57,22.0,       (2017 WY14)
154991,102,2456468.290695995,2013-Jun-24 18:59,0.0191369442004971,0.0191366314227253,0.0191372569785224,10.6517554769626,10.6503509145488,< 00:01,18.4,154991 Vinciguerra (2005 BX26)
2017 FX2,13,2456483.379185228,2013-Jul-09 21:06,0.0469732742280545,0.0417213835171207,0.0525342135925991,6.69749514973669,6.69658508465139,05:56,26.0,       (2017 FX2)
2020 MZ,7,2456498.810100239,2013-Jul-25 07:27,0.0153474022915229,0.0120572795173903,0.0723957669948601,10.7305731199045,10.7288345843598,18:42,25.77,       (2020 MZ)
2009 SX17,16,2456508.689228258,2013-Aug-04 04:32,0.0329515493828016,0.0212794556814714,0.0450621124683961,9.96339070860014,9.96251865698273,1_10:22,24.2,       (2009 SX17)
163067,12,2456534.948100492,2013-Aug-30 10:45,0.0146319390039498,0.0146219451074399,0.0146419336831561,16.4843454497297,16.4831584565213,< 00:01,19.8,163067 (2002 AP3)
2016 CW247,5,2456576.484701222,2013-Oct-10 23:38,0.046763222126895,0.0195945730813354,0.0802067333307866,15.1726292182988,15.1722257153722,1_12:37,22.3,       (2016 CW247)
2009 WC11,13,2456615.684181616,2013-Nov-19 04:25,0.0352438788717916,0.00652379494578655,0.102732148300638,10.7703086817727,10.7695544418032,7_04:08,22.1,       (2009 WC11)
2017 GM,5,2456647.166701208,2013-Dec-20 16:00,0.0315658840168474,0.0314467398466469,0.0479017611367544,16.3102372349112,16.3096811573692,2_01:53,29.9,       (2017 GM)
363599,81,2456700.465398250,2014-Feb-11 23:10,0.0476146783570778,0.0476142046314094,0.0476151520827814,16.7802675856827,16.7799092656519,< 00:01,21.0,363599 (2004 FG11)
2014 HS184,24,2456707.891700106,2014-Feb-19 09:24,0.0341684989923979,0.0341084776745083,0.0342285428863504,10.7967124376472,10.7959363614554,00:21,23.3,       (2014 HS184)
2019 SO8,2,2456731.756627128,2014-Mar-15 06:10,0.0534027833070081,0.0507936865227741,0.102367334369384,7.11425425849987,7.11350066713404,1_21:18,26.7,       (2019 SO8)
2013 SC21,10,2456739.975244019,2014-Mar-23 11:24,0.04590998380516,0.0458602477431181,0.0459623908986501,14.4906593218371,14.4902289762539,09:57,25.0,       (2013 SC21)
2013 XY8,39,2456767.868377322,2014-Apr-20 08:50,0.029775418823254,0.0297740604568484,0.0297767772198444,15.7503474369058,15.7497369637297,< 00:01,25.0,       (2013 XY8)
2017 WD15,6,2456771.711789575,2014-Apr-24 05:05,0.0473355061392496,0.0425175394732982,0.0547193951472028,11.0835244446406,11.0829787471339,15:56,24.4,       (2017 WD15)
2008 VZ3,16,2456788.387271283,2014-May-10 21:18,0.0401144329747524,0.0391935901829043,0.179266687327368,14.8723932022853,14.871913323361,8_17:40,24.4,       (2008 VZ3)
2014 HA177,7,2456799.098656981,2014-May-21 14:22,0.0445411085083257,0.0445219504250449,0.0445602714697684,5.35229883107029,5.35109780193773,00:07,20.1,       (2014 HA177)
86878,101,2456812.565164217,2014-Jun-04 01:34,0.0296476404103577,0.0296472905336406,0.0296479902873056,16.7793736081809,16.7787981049635,< 00:01,17.6, 86878 (2000 HD24)
2016 US31,5,2456831.864069861,2014-Jun-23 08:44,0.0471051986645604,0.0463350864249263,0.0815555644718799,6.82106069593209,6.82016962187218,16:38,25.2,       (2016 US31)
2016 GK2,8,2456852.230454628,2014-Jul-13 17:32,0.0366202977379958,0.0110877732727852,0.0633235438827549,12.3461463600798,12.345513126361,1_05:11,27.7,       (2016 GK2)
2010 XG11,19,2456868.281543745,2014-Jul-29 18:45,0.00805371313723694,0.00805227544826272,0.0080551520554909,12.5301252664869,12.5272879760744,< 00:01,20.0,       (2010 XG11)
2013 XH17,8,2456870.660557047,2014-Aug-01 03:51,0.0231925894104501,0.0180931916455655,0.0283019236122926,9.2630840291389,9.26175132856084,08:36,25.3,       (2013 XH17)
2017 GJ4,2,2456872.529369381,2014-Aug-03 00:42,0.0396878990660226,0.0360265662657753,0.061484648406307,8.91629091240383,8.91548184714716,09:42,25.9,       (2017 GJ4)
2019 BD3,3,2456875.930268319,2014-Aug-06 10:20,0.0178682035251354,0.0178637015478157,0.150478586067041,13.8723291595006,13.8711741275671,8_00:21,25.6,       (2019 BD3)
2014 YL42,9,2456884.452760375,2014-Aug-14 22:52,0.0118176909246337,0.0113084190691494,0.0123328783024076,16.2607881923804,16.259298310416,02:20,24.6,       (2014 YL42)
2007 BZ48,11,2456886.102547496,2014-Aug-16 14:28,0.0433309319256292,0.0354753482942568,0.212463903568878,14.3117123640215,14.3112507026231,9_02:33,26.0,       (2007 BZ48)
162470,26,2456886.122082739,2014-Aug-16 14:56,0.0529442509865084,0.0529437557453249,0.0529447462310024,17.7251315340156,17.7248264625076,< 00:01,19.3,162470 (2000 KX43)
2020 HH2,10,2456901.896346528,2014-Sep-01 09:31,0.0218386215473996,0.00383125109489865,0.0400139916794848,12.1143382973737,12.1132561144778,1_06:47,23.295,       (2020 HH2)
2020 FM1,2,2456949.920364328,2014-Oct-19 10:05,0.0468977922187848,0.0375913090644106,0.0562646153599355,4.80211932166683,4.80084793299849,2_19:58,29.316,       (2020 FM1)
2011 HO53,12,2456953.302479819,2014-Oct-22 19:16,0.0304859785532752,0.0188505847609737,0.0441046601530213,9.54335335073356,9.54236927746511,1_10:43,23.2,       (2011 HO53)
