des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,fullname
2018 VB1,14,2456657.170721602,2013-Dec-30 16:06,0.0517036684314459,0.041786676482269,0.0616210037067569,21.1573625039862,21.1572278737304,15:37,23.7,       (2018 VB1)
2014 GC34,4,2456675.154252778,2014-Jan-17 15:42,0.0481233230439118,0.000365123357718713,0.173346195225388,24.8065124047429,24.8063890363421,3_10:05,23.1,       (2014 GC34)
2009 SB170,11,2456716.106786199,2014-Feb-27 14:34,0.0349522438523385,0.0349459050905956,0.0349585836063593,42.8339041411125,42.8338057712757,< 00:01,20.8,       (2009 SB170)
2004 TD10,30,2456720.964726252,2014-Mar-04 11:09,0.00919791255110419,0.00919700727217476,0.00919881783242562,12.0899443014558,12.0886198550566,< 00:01,22.1,       (2004 TD10)
2009 UX19,16,2456737.487447944,2014-Mar-20 23:42,0.0271453212564264,0.0271411659718771,0.0271494767307379,38.3820461731003,38.3819048211306,< 00:01,18.9,       (2009 UX19)
2009 SQ,18,2456793.708433714,2014-May-16 05:00,0.0408945713923966,0.0360661727029936,0.128383305734272,34.368229348995,34.3681245632953,3_04:35,19.0,       (2009 SQ)
2006 UF17,22,2456821.188302062,2014-Jun-12 16:31,0.0515052044008727,0.051502677753134,0.0515077310537934,24.3084284706649,24.3083108409005,< 00:01,21.6,       (2006 UF17)
2018 XC,4,2456828.720665666,2014-Jun-20 05:18,0.0288717375752445,0.0199880219978911,0.0379495338266472,16.5116448188032,16.5113358853225,1_06:10,25.7,       (2018 XC)
2013 JX28,15,2456837.214901665,2014-Jun-28 17:09,0.0393265387196993,0.039323239336509,0.0393298384490923,22.3839349455924,22.3837676426272,< 00:01,20.1,       (2013 JX28)
2015 XQ55,25,2456895.896778555,2014-Aug-26 09:31,0.0437178199217593,0.0437090122825679,0.0437266279907262,23.4750411141443,23.4748976112557,00:02,21.8,       (2015 XQ55)
2015 FW284,4,2456914.716771363,2014-Sep-14 05:12,0.0534548526434453,0.0531845912717343,0.0537251741708435,21.7546349632199,21.754508318671,06:56,24.9,       (2015 FW284)
2011 EH17,6,2456916.544886772,2014-Sep-16 01:05,0.016556743548516,0.0157188207174105,0.025385812144785,28.7956048418353,28.7952959365233,1_10:33,24.6,       (2011 EH17)
141495,161,2456917.598431515,2014-Sep-17 02:22,0.0324048805094541,0.0324042222966628,0.0324055387412383,33.242789150074,33.2426524347525,< 00:01,18.3,141495 (2002 EZ11)
481817,52,2457001.002787293,2014-Dec-09 12:04,0.0520007585852144,0.0519996420370962,0.0520018751816379,20.6776918192733,20.6775548529256,< 00:01,18.6,481817 (2008 UL90)
2013 DF,6,2457008.004581211,2014-Dec-16 12:07,0.0338349922298128,0.0218420302718227,0.0458291749649026,12.8256380910082,12.8252987120923,1_23:13,24.6,       (2013 DF)
2017 FU90,7,2457018.612409880,2014-Dec-27 02:42,0.0386290131273128,0.0383951819409064,0.0389644616116753,20.416054909293,20.4158681678449,00:55,25.2,       (2017 FU90)
2013 ND15,9,2457053.997851644,2015-Jan-31 11:57,0.0510709329327376,0.0507104643063476,0.0515975503206375,15.7478159212955,15.7476328026454,3_08:41,24.1,       (2013 ND15)
2014 YQ34,3,2457069.120601143,2015-Feb-15 14:54,0.0525136570303535,0.0466845182319193,0.0583840497144859,22.3336241007083,22.333498528385,1_12:52,24.0,       (2014 YQ34)
2019 SV6,6,2457084.058831242,2015-Mar-02 13:25,0.0471373687279301,0.0325158211134284,0.0750428931277451,20.0424566923193,20.0423008054363,2_21:04,23.8,       (2019 SV6)
264357,43,2457089.497093713,2015-Mar-07 23:56,0.0255061674336229,0.0255060390126132,0.0255062958549747,15.6007448260613,15.6003747092718,< 00:01,21.0,264357 (2000 AZ93)
2016 DL,10,2457092.438848362,2015-Mar-10 22:32,0.0471420117611991,0.0471311133666398,0.0471529238095373,28.9589231881673,28.9588153097758,00:03,21.3,       (2016 DL)
2018 BP1,10,2457106.276738543,2015-Mar-24 18:39,0.0524958041032876,0.0508294892838551,0.0626599869394823,14.073096098455,14.0728967499402,3_09:34,24.6,       (2018 BP1)
2018 EP1,12,2457110.666061806,2015-Mar-29 03:59,0.0444667213240016,0.0444589749544946,0.0444744847950942,19.9508603616013,19.9506943535149,00:06,18.6,       (2018 EP1)
2012 DK31,18,2457120.626882624,2015-Apr-08 03:03,0.00636121823812792,0.00635699494156075,0.00636544153554556,34.7926360239156,34.7919705964875,< 00:01,21.8,       (2012 DK31)
217837,56,2457145.017869351,2015-May-02 12:26,0.0466816428673253,0.0466800872554448,0.0466831984797922,20.8423537086759,20.8422023410994,< 00:01,19.3,217837 (2001 LC)
2020 RS3,10,2457150.821470659,2015-May-08 07:43,0.0506463689400621,0.0494625793369662,0.0518819168074829,16.4725547706046,16.4723782411308,15:01,22.775,       (2020 RS3)
